TIME,REF_SPEED,SPEED
0.049,300.0,0.0
0.101,300.0,84.0
0.152,300.0,156.0
0.203,300.0,204.0
0.256,300.0,240.0
0.307,300.0,300.0
0.359,300.0,348.0
0.41,300.0,360.0
0.462,300.0,360.0
0.514,300.0,372.0
0.565,300.0,372.0
0.617,300.0,336.0
0.668,300.0,324.0
0.72,300.0,324.0
0.772,300.0,312.0
0.823,300.0,300.0
0.875,300.0,288.0
0.926,300.0,312.0
0.978,300.0,288.0
1.03,300.0,300.0
1.082,300.0,300.0
1.133,300.0,312.0
1.185,300.0,288.0
1.236,300.0,276.0
1.289,300.0,300.0
1.34,300.0,300.0
1.391,300.0,300.0
1.443,300.0,288.0
1.495,300.0,312.0
1.547,300.0,312.0
1.598,300.0,300.0
1.65,300.0,300.0
1.701,300.0,300.0
1.754,300.0,312.0
1.805,300.0,300.0
1.857,300.0,300.0
1.908,300.0,312.0
1.96,300.0,312.0
2.012,300.0,288.0
2.063,300.0,276.0
2.115,300.0,300.0
2.166,300.0,300.0
2.219,300.0,300.0
2.27,300.0,300.0
2.322,300.0,300.0
2.373,300.0,312.0
2.425,300.0,300.0
2.477,300.0,300.0
2.529,300.0,300.0
2.58,300.0,324.0
2.632,300.0,288.0
2.683,300.0,276.0
2.736,300.0,288.0
2.787,300.0,312.0
2.838,300.0,276.0
2.89,300.0,276.0
2.941,300.0,288.0
2.994,300.0,288.0
3.045,300.0,288.0
3.097,300.0,288.0
3.148,300.0,288.0
3.201,300.0,324.0
3.252,300.0,312.0
3.304,300.0,312.0
3.355,300.0,312.0
3.407,300.0,312.0
3.459,300.0,288.0
3.511,300.0,276.0
3.562,300.0,288.0
3.613,300.0,312.0
3.665,300.0,312.0
3.717,300.0,300.0
3.769,300.0,312.0
3.82,300.0,312.0
3.872,300.0,288.0
3.923,300.0,276.0
3.976,300.0,288.0
4.027,300.0,300.0
4.079,300.0,312.0
4.13,300.0,312.0
4.183,300.0,300.0
4.234,300.0,312.0
4.286,300.0,300.0
4.337,300.0,276.0
4.389,300.0,288.0
4.441,300.0,312.0
4.492,300.0,312.0
4.544,300.0,300.0
4.595,300.0,312.0
4.647,300.0,300.0
4.699,300.0,312.0
4.751,300.0,288.0
4.802,300.0,300.0
4.854,300.0,312.0
4.905,300.0,300.0
4.958,300.0,288.0
5.009,300.0,300.0
5.061,300.0,312.0
5.112,300.0,300.0
5.165,300.0,288.0
5.216,300.0,312.0
5.267,300.0,300.0
5.319,300.0,300.0
5.37,300.0,300.0
5.423,300.0,300.0
5.474,300.0,312.0
5.526,300.0,300.0
5.577,300.0,288.0
5.629,300.0,300.0
5.681,300.0,312.0
5.733,300.0,300.0
5.784,300.0,300.0
5.836,300.0,300.0
5.888,300.0,312.0
5.939,300.0,288.0
5.991,300.0,276.0
6.042,300.0,288.0
6.094,300.0,288.0
6.146,300.0,300.0
6.198,300.0,288.0
6.249,300.0,300.0
6.301,300.0,300.0
6.352,300.0,300.0
6.405,300.0,300.0
6.456,300.0,300.0
6.508,300.0,300.0
6.559,300.0,300.0
6.61,300.0,300.0
6.663,300.0,300.0
6.714,300.0,300.0
6.766,300.0,300.0
6.817,300.0,300.0
6.87,300.0,300.0
6.921,300.0,312.0
6.973,300.0,300.0
7.024,300.0,288.0
7.076,300.0,300.0
7.128,300.0,312.0
7.18,300.0,300.0
7.231,300.0,288.0
7.282,300.0,300.0
7.334,300.0,312.0
7.386,300.0,300.0
7.438,300.0,288.0
7.489,300.0,300.0
7.541,300.0,312.0
7.592,300.0,300.0
7.645,300.0,288.0
7.696,300.0,300.0
7.748,300.0,312.0
7.799,300.0,300.0
7.852,300.0,300.0
7.903,300.0,288.0
7.955,300.0,300.0
8.006,300.0,300.0
8.057,300.0,288.0
8.11,300.0,300.0
8.161,300.0,312.0
8.213,300.0,300.0
8.264,300.0,300.0
8.316,300.0,300.0
8.368,300.0,300.0
8.42,300.0,300.0
8.471,300.0,300.0
8.523,300.0,300.0
8.574,300.0,312.0
8.626,300.0,300.0
8.678,300.0,288.0
8.729,300.0,300.0
8.781,300.0,312.0
8.833,300.0,300.0
8.885,300.0,288.0
8.936,300.0,312.0
8.988,300.0,300.0
9.039,300.0,300.0
9.092,300.0,300.0
9.143,300.0,300.0
9.195,300.0,300.0
9.246,300.0,300.0
9.297,300.0,300.0
9.35,300.0,288.0
9.401,300.0,312.0
9.453,300.0,300.0
9.504,300.0,288.0
9.556,300.0,300.0
9.608,300.0,312.0
9.66,300.0,300.0
9.711,300.0,288.0
9.763,300.0,300.0
9.815,300.0,300.0
9.867,300.0,288.0
9.918,300.0,300.0
9.97,300.0,312.0
10.021,2000.0,324.0
10.074,2000.0,564.0
10.125,2000.0,924.0
10.177,2000.0,1416.0
10.228,2000.0,1800.0
10.28,2000.0,2088.0
10.333,2000.0,2256.0
10.384,2000.0,2304.0
10.436,2000.0,2292.0
10.487,2000.0,2232.0
10.54,2000.0,2172.0
10.592,2000.0,2124.0
10.643,2000.0,2064.0
10.695,2000.0,2016.0
10.747,2000.0,1968.0
10.799,2000.0,1944.0
10.851,2000.0,1932.0
10.903,2000.0,1944.0
10.954,2000.0,1956.0
11.006,2000.0,1968.0
11.058,2000.0,1980.0
11.11,2000.0,2004.0
11.162,2000.0,2016.0
11.213,2000.0,2004.0
11.266,2000.0,2016.0
11.318,2000.0,2004.0
11.369,2000.0,2004.0
11.421,2000.0,1992.0
11.472,2000.0,1992.0
11.525,2000.0,1992.0
11.577,2000.0,1992.0
11.628,2000.0,2004.0
11.68,2000.0,2004.0
11.732,2000.0,2016.0
11.784,2000.0,2004.0
11.836,2000.0,2004.0
11.888,2000.0,2004.0
11.939,2000.0,1992.0
11.992,2000.0,1992.0
12.043,2000.0,1980.0
12.095,2000.0,1992.0
12.147,2000.0,2004.0
12.198,2000.0,2004.0
12.251,2000.0,2016.0
12.303,2000.0,2004.0
12.354,2000.0,2004.0
12.406,2000.0,1992.0
12.459,2000.0,2004.0
12.51,2000.0,2016.0
12.562,2000.0,2004.0
12.613,2000.0,1992.0
12.665,2000.0,1980.0
12.718,2000.0,1980.0
12.769,2000.0,1992.0
12.821,2000.0,2004.0
12.873,2000.0,2016.0
12.924,2000.0,2016.0
12.977,2000.0,2016.0
13.029,2000.0,2004.0
13.08,2000.0,2004.0
13.132,2000.0,1992.0
13.184,2000.0,2004.0
13.236,2000.0,1980.0
13.288,2000.0,1992.0
13.339,2000.0,1992.0
13.391,2000.0,2004.0
13.444,2000.0,1992.0
13.495,2000.0,2004.0
13.547,2000.0,2004.0
13.599,2000.0,2004.0
13.65,2000.0,2016.0
13.703,2000.0,2004.0
13.754,2000.0,2016.0
13.806,2000.0,2004.0
13.858,2000.0,1992.0
13.91,2000.0,2004.0
13.962,2000.0,1992.0
14.014,2000.0,2004.0
14.065,2000.0,2004.0
14.117,2000.0,2004.0
14.17,2000.0,2016.0
14.221,2000.0,2004.0
14.273,2000.0,1992.0
14.324,2000.0,2004.0
14.376,2000.0,2004.0
14.429,2000.0,1992.0
14.48,2000.0,1980.0
14.532,2000.0,1992.0
14.584,2000.0,1992.0
14.636,2000.0,1992.0
14.688,2000.0,1992.0
14.74,2000.0,2004.0
14.791,2000.0,2004.0
14.843,2000.0,2016.0
14.895,2000.0,2004.0
14.947,2000.0,2004.0
14.999,2000.0,2004.0
15.05,2000.0,1992.0
15.102,2000.0,1968.0
15.155,2000.0,1968.0
15.206,2000.0,1956.0
15.258,2000.0,1920.0
15.31,2000.0,1752.0
15.362,2000.0,1668.0
15.414,2000.0,1572.0
15.465,2000.0,1608.0
15.517,2000.0,1692.0
15.569,2000.0,1884.0
15.621,2000.0,1980.0
15.673,2000.0,2052.0
15.725,2000.0,2016.0
15.776,2000.0,1980.0
15.828,2000.0,1944.0
15.88,2000.0,1944.0
15.932,2000.0,1956.0
15.984,2000.0,1992.0
16.035,2000.0,1908.0
16.088,2000.0,1968.0
16.14,2000.0,2028.0
16.191,2000.0,2052.0
16.243,2000.0,1920.0
16.294,2000.0,1980.0
16.347,2000.0,1932.0
16.399,2000.0,1944.0
16.45,2000.0,1932.0
16.502,2000.0,1956.0
16.555,2000.0,1956.0
16.606,2000.0,2040.0
16.658,2000.0,2028.0
16.709,2000.0,2088.0
16.761,2000.0,2016.0
16.814,2000.0,1932.0
16.865,2000.0,1884.0
16.917,2000.0,2064.0
16.969,2000.0,2076.0
17.02,2000.0,2088.0
17.073,2000.0,2016.0
17.124,2000.0,2004.0
17.176,2000.0,1944.0
17.228,2000.0,2040.0
17.28,2000.0,2040.0
17.332,2000.0,2088.0
17.384,2000.0,2028.0
17.435,2000.0,1992.0
17.487,2000.0,1920.0
17.54,2000.0,2004.0
17.591,2000.0,2040.0
17.643,2000.0,2064.0
17.694,2000.0,2028.0
17.746,2000.0,2004.0
17.799,2000.0,1932.0
17.85,2000.0,2004.0
17.902,2000.0,2076.0
17.954,2000.0,2040.0
18.006,2000.0,1908.0
18.058,2000.0,1956.0
18.11,2000.0,1920.0
18.161,2000.0,2028.0
18.213,2000.0,1992.0
18.265,2000.0,2052.0
18.317,2000.0,2064.0
18.369,2000.0,2028.0
18.42,2000.0,2028.0
18.472,2000.0,2064.0
18.525,2000.0,2016.0
18.576,2000.0,2076.0
18.628,2000.0,2148.0
18.68,2000.0,2256.0
18.732,2000.0,2508.0
18.784,2000.0,2532.0
18.836,2000.0,2484.0
18.887,2000.0,2376.0
18.939,2000.0,2256.0
18.991,2000.0,2136.0
19.043,2000.0,2028.0
19.095,2000.0,1980.0
19.146,2000.0,1908.0
19.198,2000.0,1908.0
19.251,2000.0,1896.0
19.302,2000.0,1920.0
19.354,2000.0,1920.0
19.405,2000.0,1956.0
19.458,2000.0,1980.0
19.51,2000.0,2004.0
19.561,2000.0,2016.0
19.613,2000.0,2028.0
19.665,2000.0,2040.0
19.717,2000.0,2040.0
19.769,2000.0,2040.0
19.82,2000.0,2028.0
19.872,2000.0,2004.0
19.924,2000.0,1992.0
19.976,2000.0,1980.0
20.028,2000.0,1968.0
20.08,2000.0,1968.0
20.131,2000.0,1968.0
20.184,2000.0,1968.0
20.235,2000.0,2004.0
20.287,2000.0,2016.0
20.339,2000.0,2016.0
20.39,2000.0,2016.0
20.443,2000.0,2016.0
20.495,2000.0,2004.0
20.546,2000.0,2004.0
20.598,2000.0,1992.0
20.649,2000.0,1992.0
20.702,2000.0,1980.0
20.754,2000.0,1992.0
20.805,2000.0,2004.0
20.857,2000.0,2016.0
20.91,2000.0,2028.0
20.961,2000.0,2028.0
21.013,2000.0,2028.0
21.064,2000.0,2004.0
21.116,2000.0,1980.0
21.169,2000.0,1968.0
21.22,2000.0,1980.0
21.272,2000.0,1968.0
21.324,2000.0,1980.0
21.376,2000.0,2004.0
21.428,2000.0,2004.0
21.479,2000.0,2016.0
21.531,2000.0,2028.0
21.583,2000.0,2016.0
21.635,2000.0,2028.0
21.687,2000.0,2016.0
21.739,2000.0,1992.0
21.79,2000.0,1980.0
21.842,2000.0,1968.0
21.894,2000.0,1980.0
21.946,2000.0,1980.0
21.998,2000.0,2016.0
22.049,2000.0,2016.0
22.102,2000.0,2016.0
22.154,2000.0,2028.0
22.205,2000.0,2016.0
22.257,2000.0,2004.0
22.308,2000.0,1980.0
22.361,2000.0,1968.0
22.413,2000.0,1968.0
22.464,2000.0,1992.0
22.516,2000.0,1980.0
22.568,2000.0,1992.0
22.62,2000.0,2016.0
22.672,2000.0,2016.0
22.723,2000.0,2016.0
22.775,2000.0,2028.0
22.828,2000.0,2016.0
22.879,2000.0,2016.0
22.931,2000.0,1992.0
22.983,2000.0,1980.0
23.034,2000.0,1992.0
23.087,2000.0,1980.0
23.138,2000.0,2004.0
23.19,2000.0,2004.0
23.242,2000.0,2004.0
23.293,2000.0,2016.0
23.346,2000.0,2016.0
23.398,2000.0,2016.0
23.449,2000.0,2016.0
23.501,2000.0,1980.0
23.553,2000.0,1980.0
23.605,2000.0,1980.0
23.657,2000.0,1992.0
23.708,2000.0,1992.0
23.76,2000.0,2016.0
23.813,2000.0,2004.0
23.864,2000.0,2016.0
23.916,2000.0,2016.0
23.967,2000.0,2004.0
24.019,2000.0,1992.0
24.072,2000.0,1992.0
24.123,2000.0,1980.0
24.175,2000.0,1980.0
24.227,2000.0,2004.0
24.279,2000.0,1992.0
24.331,2000.0,2004.0
24.382,2000.0,2016.0
24.434,2000.0,2016.0
24.486,2000.0,2016.0
24.538,2000.0,2016.0
24.59,2000.0,2004.0
24.642,2000.0,2004.0
24.693,2000.0,1992.0
24.745,2000.0,1992.0
24.797,2000.0,1992.0
24.849,2000.0,1992.0
24.901,2000.0,2004.0
24.952,2000.0,2004.0
25.005,2000.0,2004.0
25.057,2000.0,2004.0
25.108,2000.0,2004.0
25.16,2000.0,2004.0
25.211,2000.0,2004.0
25.264,2000.0,1992.0
25.316,2000.0,1980.0
25.367,2000.0,1992.0
25.419,2000.0,1992.0
25.47,2000.0,1992.0
25.523,2000.0,2016.0
25.575,2000.0,1980.0
25.626,2000.0,1776.0
25.678,2000.0,1440.0
25.731,2000.0,1080.0
25.782,2000.0,648.0
25.834,2000.0,156.0
25.885,2000.0,12.0
25.936,2000.0,0.0
25.989,2000.0,0.0
26.04,2000.0,0.0
26.091,2000.0,0.0
26.142,2000.0,0.0
26.194,2000.0,0.0
26.246,2000.0,0.0
26.297,2000.0,0.0
26.348,2000.0,0.0
26.4,2000.0,0.0
26.451,2000.0,0.0
26.503,2000.0,0.0
26.554,2000.0,0.0
26.606,2000.0,0.0
26.657,2000.0,0.0
26.708,2000.0,0.0
26.761,2000.0,0.0
26.812,2000.0,0.0
26.863,2000.0,0.0
26.914,2000.0,0.0
26.967,2000.0,0.0
27.018,2000.0,0.0
27.069,2000.0,0.0
27.12,2000.0,0.0
27.172,2000.0,0.0
27.224,2000.0,0.0
27.275,2000.0,0.0
27.326,2000.0,0.0
27.378,2000.0,0.0
27.429,2000.0,0.0
27.481,2000.0,0.0
27.532,2000.0,0.0
27.584,2000.0,0.0
27.635,2000.0,0.0
